107       	842       	3
96        	909       	3
134       	991       	1
161       	1139      	2
74        	957       	1
220       	1099      	4
18        	867       	2
171       	1089      	5
229       	1074      	3
555       	1527      	3
578       	858       	2
207       	18        	5
113       	820       	5
124       	1017      	3
139       	894       	3
227       	1444      	3
26        	1002      	5
105       	877       	2
213       	49        	4
150       	206       	2
22        	1008      	4
75        	1112      	4
221       	490       	4
213       	201       	2
232       	0         	4
938       	1179      	2
311       	1627      	5
4         	1425      	2
589       	880       	4
68        	833       	5
445       	846       	3
225       	1660      	4
140       	787       	4
212       	1549      	4
940       	788       	3
64        	877       	4
91        	92        	1
198       	1243      	5
196       	1456      	1
666       	928       	4
1         	667       	4
205       	911       	4
114       	1659      	2
196       	1199      	3
208       	936       	5
163       	797       	5
159       	154       	5
166       	841       	5
942       	1016      	5
87        	942       	3
169       	2         	4
789       	1053      	2
179       	931       	4
167       	774       	5
544       	790       	5
689       	1326      	2
855       	999       	4
212       	479       	5
356       	1043      	5
214       	1145      	4
18        	795       	3
112       	892       	1
114       	816       	4
34        	1157      	3
163       	1593      	4
43        	861       	5
75        	831       	1
556       	1047      	5
522       	911       	5
138       	877       	4
99        	1142      	4
160       	556       	3
911       	56        	1
163       	1035      	3
105       	723       	4
158       	1339      	2
87        	848       	4
172       	495       	3
215       	1127      	3
31        	827       	5
140       	836       	5
221       	827       	3
140       	1106      	5
196       	1172      	3
213       	490       	5
137       	979       	4
186       	1148      	5
356       	1021      	3
12        	124       	4
938       	1267      	4
777       	948       	4
70        	850       	4
855       	20        	4
199       	601       	5
51        	878       	2
22        	172       	5
578       	1125      	4
578       	997       	3
200       	805       	4
40        	828       	4
245       	899       	3
889       	997       	5
207       	804       	4
215       	1333      	3
130       	490       	4
74        	937       	5
168       	1123      	4
191       	357       	5
68        	766       	5
184       	201       	4
109       	1125      	3
356       	1638      	5
76        	568       	5
13        	914       	4
533       	490       	4
889       	1292      	4
191       	957       	4
578       	806       	3
199       	1497      	3
153       	1144      	4
933       	1448      	4
32        	1111      	3
220       	925       	4
378       	789       	5
183       	796       	5
105       	1000      	2
689       	789       	5
137       	1406      	5
168       	866       	3
345       	867       	3
139       	845       	3
800       	390       	3
181       	165       	4
215       	1096      	3
130       	1303      	3
168       	446       	3
544       	828       	5
207       	993       	5
161       	1478      	4
666       	1104      	4
83        	981       	1
855       	877       	4
105       	237       	2
800       	151       	2
34        	1501      	2
34        	875       	4
161       	1412      	2
229       	1047      	5
938       	1446      	2
367       	445       	2
221       	1633      	4
522       	1038      	3
822       	1023      	3
